AccessionVersion	TaxSuperkingdom	TaxPhylum	TaxClass	TaxOrder	TaxFamily	TaxGenus	TaxSpecies	Topology	MOB_60	MPF	PFinder_80	CARD_80	Filtered	Size	PTU_Curated	HRange_Curated	CComp	BlockCC_old	BlockCC4_old	sHSBM_old	PTU_sHSBM_old	BlockCC	BlockCC4	sHSBM	PTU_sHSBM	HRange
NZ_CP019757.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	31245	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019758.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	30222	-	-	37	0_2_1_7_8_19_7_23_71_156_282_0	0_2_1_7_8_19_7_23_71_156_282_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019759.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	30300	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019760.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	30651	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019761.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	16821	-	-	37	1_5_6_3_10_5_18_1_28_127_56_0	1_5_6_3_10_5_18_1_28_127_56_0	1_5_6_3_10_5_18_1_28_127_56_0	PTU-56_0	0_5_1_6_0_30_32_102_71_0	0_5_1_6_0_30_32_102_71_0	0_5_1_6_0_30_32_102_71_0	NAS_14	I
NZ_CP019762.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	21891	-	-	880	1_0_5_9_7_3_9_7_48_194_538_0	1_0_5_9_7_3_9_7_48_194_538_0	1_0_5_9_7_3_9_7_48_194_538_0	PTU-538_0	0_5_1_11_11_23_30_87_217_5	0_5_1_11_11_23_30_87_217_5	0_5_1_11_11_23_30_87_217_5	NAS_6	I
NZ_CP019763.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	36780	-	-	37	0_2_1_7_8_19_7_38_81_72_163_0	0_2_1_7_8_19_7_38_81_72_163_0	0_2_1_7_8_19_7_38_81_72_163_0	PTU-163_0	0_5_1_6_0_30_32_70_492_0	0_5_1_6_0_30_32_70_492_0	0_5_1_6_0_30_32_70_492_0	NAS_17	I
NZ_CP019764.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	38834	-	-	37	0_2_1_7_8_19_7_38_73_62_205_0	0_2_1_7_8_19_7_38_73_62_205_0	0_2_1_7_8_19_7_38_73_62_205_0	PTU-205_0	0_5_1_6_0_30_32_79_401_0	0_5_1_6_0_30_32_79_401_0	0_5_1_6_0_30_32_79_401_0	NAS_19	I
NZ_CP019765.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	53650	-	-	37	0_2_1_7_8_19_7_23_77_139_144_0	0_2_1_7_8_19_7_23_77_139_144_0	0_2_1_7_8_19_7_23_77_139_144_0	PTU-144_0	0_5_1_6_0_31_56_83_688_0	0_5_1_6_0_31_56_83_688_0	0_5_1_6_0_31_56_83_688_0	NAS_51	II
NZ_CP019766.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	52951	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019845.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	26498	-	-	179	1_0_5_9_7_10_24_20_53_11_162_0	1_0_5_9_7_10_24_20_53_11_162_0	1_0_5_9_7_10_24_20_53_11_162_0	PTU-162_0	0_4_5_3_10_2_41_115_364_0	0_4_5_3_10_2_41_115_364_0	0_4_5_3_10_2_41_115_364_0	NAS_1	II
NZ_CP019846.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	30726	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019847.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	30418	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019848.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	30299	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019849.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	30674	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019850.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	30580	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019851.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	16820	-	-	37	1_5_6_3_10_5_18_1_28_127_56_0	1_5_6_3_10_5_18_1_28_127_56_0	1_5_6_3_10_5_18_1_28_127_56_0	PTU-56_0	0_5_1_6_0_30_32_102_71_0	0_5_1_6_0_30_32_102_71_0	0_5_1_6_0_30_32_102_71_0	NAS_14	I
NZ_CP019852.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	36714	-	-	37	0_2_1_7_8_19_7_38_81_72_163_0	0_2_1_7_8_19_7_38_81_72_163_0	0_2_1_7_8_19_7_38_81_72_163_0	PTU-163_0	0_5_1_6_0_30_32_70_492_0	0_5_1_6_0_30_32_70_492_0	0_5_1_6_0_30_32_70_492_0	NAS_17	I
NZ_CP019853.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	38841	-	-	37	0_2_1_7_8_19_7_38_73_62_205_0	0_2_1_7_8_19_7_38_73_62_205_0	0_2_1_7_8_19_7_38_73_62_205_0	PTU-205_0	0_5_1_6_0_30_32_79_401_0	0_5_1_6_0_30_32_79_401_0	0_5_1_6_0_30_32_79_401_0	NAS_19	I
NZ_CP019854.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	53650	-	-	37	0_2_1_7_8_19_7_23_77_139_144_0	0_2_1_7_8_19_7_23_77_139_144_0	0_2_1_7_8_19_7_23_77_139_144_0	PTU-144_0	0_5_1_6_0_31_56_83_688_0	0_5_1_6_0_31_56_83_688_0	0_5_1_6_0_31_56_83_688_0	NAS_51	II
NZ_CP019855.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	52971	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019917.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	26498	-	-	179	1_0_5_9_7_10_24_20_53_11_162_0	1_0_5_9_7_10_24_20_53_11_162_0	1_0_5_9_7_10_24_20_53_11_162_0	PTU-162_0	0_4_5_3_10_2_41_115_364_0	0_4_5_3_10_2_41_115_364_0	0_4_5_3_10_2_41_115_364_0	NAS_1	II
NZ_CP019918.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	56632	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019919.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	31245	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019920.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	25789	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019921.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	circular	-	-	-	-	No	62238	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP019922.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	16800	-	-	37	1_5_6_3_10_5_18_1_28_127_56_0	1_5_6_3_10_5_18_1_28_127_56_0	1_5_6_3_10_5_18_1_28_127_56_0	PTU-56_0	0_5_1_6_0_30_32_102_71_0	0_5_1_6_0_30_32_102_71_0	0_5_1_6_0_30_32_102_71_0	NAS_14	I
NZ_CP019923.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	28157	-	-	880	1_0_5_9_7_3_9_7_48_194_538_0	1_0_5_9_7_3_9_7_48_194_538_0	1_0_5_9_7_3_9_7_48_194_538_0	PTU-538_0	0_5_1_11_11_23_30_87_217_5	0_5_1_11_11_23_30_87_217_5	0_5_1_11_11_23_30_87_217_5	NAS_6	I
NZ_CP019924.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	36846	-	-	37	0_2_1_7_8_19_7_38_81_72_163_0	0_2_1_7_8_19_7_38_81_72_163_0	0_2_1_7_8_19_7_38_81_72_163_0	PTU-163_0	0_5_1_6_0_30_32_70_492_0	0_5_1_6_0_30_32_70_492_0	0_5_1_6_0_30_32_70_492_0	NAS_17	I
NZ_CP019925.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	53650	-	-	37	0_2_1_7_8_19_7_23_77_139_144_0	0_2_1_7_8_19_7_23_77_139_144_0	0_2_1_7_8_19_7_23_77_139_144_0	PTU-144_0	0_5_1_6_0_31_56_83_688_0	0_5_1_6_0_31_56_83_688_0	0_5_1_6_0_31_56_83_688_0	NAS_51	II
NZ_CP019926.1	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	linear	-	-	-	-	No	52971	-	-	37	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_401_0	0_2_1_7_8_19_7_23_71_156_282_0	PTU-282_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_399_0	0_5_1_6_0_31_56_42_205_0	NAS_47	II
NZ_CP017915.1	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio alginolyticus	circular	-	-	-	-	No	300425	PTU-Vib1	I	3252	1_5_0_4_4_9_23_5_27_46_550_1	1_5_0_4_4_9_23_5_27_46_550_1	1_5_0_4_4_9_23_5_27_46_550_1	PTU-Vib1	0_5_1_11_11_13_48_37_208_9	0_5_1_11_11_13_48_37_208_9	0_5_1_11_11_13_48_37_208_9	PTU-Vib1	I
NZ_CP017898.1	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio alginolyticus	circular	-	-	-	-	No	294086	PTU-Vib1	I	3252	1_5_0_4_4_9_23_5_27_46_550_1	1_5_0_4_4_9_23_5_27_46_550_1	1_5_0_4_4_9_23_5_27_46_550_1	PTU-Vib1	0_5_1_11_11_13_48_37_208_9	0_5_1_11_11_13_48_37_208_9	0_5_1_11_11_13_48_37_208_9	PTU-Vib1	I
NZ_CP016613.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum	circular	-	-	-	ceoB	No	2000873	PTU-Bur3	I	493	1_0_5_9_7_10_24_20_53_11_298_0	1_0_5_9_7_10_24_20_53_11_298_0	1_0_5_9_7_10_24_20_53_11_298_0	PTU-Bur3	0_4_5_3_16_14_15_60_430_0	0_4_5_3_16_14_15_60_430_0	0_4_5_3_16_14_15_60_430_0	PTU-Bur3	I
NZ_CP021133.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fragi	circular	MOBP	typeT	-	-	No	79891	-	-	1	1_0_5_9_11_2_27_16_4_88_249_5	-	-	-	0_4_6_5_17_22_35_189_823_11	-	-	-	-
NZ_CP021134.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fragi	circular	MOBF	typeT	-	-	No	54359	-	-	3277	-	-	-	-	0_5_1_11_2_20_37_103_278_14	-	-	-	-
NZ_CP021135.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fragi	circular	-	-	-	-	No	16437	-	-	3278	-	-	-	-	0_5_1_11_11_23_4_145_611_13	-	-	-	-
NZ_CP021253.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium striatum	circular	MOBF	-	-	-	No	25501	-	-	2020	-	-	-	-	0_4_5_3_16_24_61_163_644_15	-	-	-	-
NZ_CP021254.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium striatum	circular	MOBF	-	-	-	No	13640	-	-	3279	-	-	-	-	0_5_1_11_11_23_4_145_216_2	-	-	-	-
NZ_CP021336.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	p0111	-	No	86922	PTU-Y	III	1	1_0_5_9_11_21_29_29_75_131_130_0	1_0_5_9_11_21_29_29_75_131_130_0	1_0_5_9_11_21_29_29_75_131_130_0	PTU-Y	0_4_6_5_7_10_65_34_301_0	0_4_6_5_7_10_65_34_301_0	0_4_6_5_7_10_65_34_301_0	PTU-Y	III
NZ_CP021337.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	-	IncFII(pRSB107)	-	No	83138	PTU-E41	I	1	1_0_5_9_11_21_13_28_8_174_530_0	1_0_5_9_11_21_13_28_8_174_530_0	1_0_5_9_11_21_13_28_8_174_530_0	PTU-E41	0_4_6_5_14_7_13_111_429_0	0_4_6_5_14_7_13_111_429_0	0_4_6_5_14_7_13_111_429_0	PTU-E41	I
NZ_CP021340.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	p0111	-	No	86917	PTU-Y	III	1	1_0_5_9_11_21_29_29_75_131_130_0	1_0_5_9_11_21_29_29_75_131_130_0	1_0_5_9_11_21_29_29_75_131_130_0	PTU-Y	0_4_6_5_7_10_65_34_301_0	0_4_6_5_7_10_65_34_301_0	0_4_6_5_7_10_65_34_301_0	PTU-Y	III
NZ_CP021341.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	-	IncFII(pRSB107)	-	No	81853	PTU-E41	I	1	1_0_5_9_11_21_13_28_8_174_530_0	1_0_5_9_11_21_13_28_8_174_530_0	1_0_5_9_11_21_13_28_8_174_530_0	PTU-E41	0_4_6_5_14_7_13_111_429_0	0_4_6_5_14_7_13_111_429_0	0_4_6_5_14_7_13_111_429_0	PTU-E41	I
NZ_CP020838.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBF	-	IncFIB(K);IncFII(K)	AAC(6')-Ib7;APH(3')-Ia;aadA2;catI;dfrA12;mphA;mphA;qacEdelta1;sul1	No	232540	PTU-FK1	II	1	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	PTU-FK1	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_153_185_0	PTU-FK	III
NZ_CP020839.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBP	-	IncX3	SHV-66	No	57580	PTU-X3	III	1	1_0_5_9_11_2_27_6_40_56_166_0	1_0_5_9_11_2_27_6_40_56_166_0	1_0_5_9_11_2_27_6_40_56_166_0	PTU-X3	0_4_6_5_17_22_31_69_424_0	0_4_6_5_17_22_31_69_424_0	0_4_6_5_17_22_31_69_424_0	PTU-X3	III
NZ_CP020840.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBC	-	ColRNAI	AAC(6')-Ib10;ANT(3'')-IIa;TEM-181	No	11984	PTU-E4	III	1	1_0_5_9_11_2_27_6_35_61_16_0	1_0_5_9_11_2_27_6_35_61_16_0	1_0_5_9_11_2_27_6_35_61_16_0	PTU-E4	0_4_6_5_17_22_31_35_19_0	0_4_6_5_17_22_31_35_19_0	0_4_6_5_17_22_31_35_19_0	PTU-E4	III
NZ_CP020848.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBH	-	IncFIB(Mar);IncHI1B;IncHI1B	AAC(6')-Ib-cr;AAC(6')-Ib10;ANT(3'')-IIa;CTX-M-15;NDM-1;OXA-1;OXA-9;QnrB6;TEM-181;TEM-181;catB3;determinant	No	347748	PTU-HI1B	III	1	1_0_5_9_11_2_27_33_6_175_475_0	1_0_5_9_11_2_27_33_6_175_475_0	1_0_5_9_11_2_27_33_6_175_475_0	PTU-HI1B	0_4_6_5_7_10_24_177_187_0	0_4_6_5_7_10_24_177_187_0	0_4_6_5_7_10_24_177_187_0	PTU-HI1B	III
NZ_CP020849.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	-	AAC(6')-Ib10;ANT(3'')-IIa;TEM-181	No	10373	-	-	1	1_0_5_9_11_2_27_33_6_175_117_1	-	-	-	0_4_6_5_7_10_39_161_152_2	-	-	-	-
NZ_CP020850.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	-	-	No	12376	-	-	1	1_0_5_9_11_2_27_33_6_175_475_0	1_0_5_9_11_2_27_33_6_175_475_0	1_0_5_9_11_2_27_33_6_175_475_0	PTU-HI1B	0_4_6_5_7_10_24_177_187_0	0_4_6_5_7_10_24_177_187_0	0_4_6_5_7_10_24_177_187_0	PTU-HI1B	III
NZ_CP020851.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	IncFIA(HI1);IncFII;IncFII	APH(3'')-Ib;APH(6)-Id	No	161100	-	-	1	1_0_5_9_11_2_27_33_6_155_95_6	1_0_5_9_11_2_27_33_6_155_95_6	1_0_5_9_11_2_27_33_6_155_95_6	PTU-95_6	0_4_6_5_7_10_39_93_415_7	0_4_6_5_7_10_39_93_415_7	0_4_6_5_7_10_39_93_415_7	PTU-E64	II
NZ_CP020852.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	-	-	No	20380	-	-	1	1_0_5_9_11_2_27_33_6_155_95_6	1_0_5_9_11_2_27_33_6_155_95_6	1_0_5_9_11_2_27_33_6_155_95_6	PTU-95_6	0_4_6_5_7_10_39_93_415_7	0_4_6_5_7_10_39_93_415_7	0_4_6_5_7_10_39_93_415_7	PTU-E64	II
NZ_CP020854.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBH	-	IncFIB(Mar);IncHI1B	AAC(6')-Ib-cr;AAC(6')-Ib7;AAC(6')-Ib7;APH(3')-VI;NDM-1;OXA-1;QnrB6;aadA2;armA;catB3;determinant;dfrA12;dfrA14;mphE;msrE;qacEdelta1;sul1	No	292471	PTU-HI1B	III	1	1_0_5_9_11_2_27_33_6_175_486_0	1_0_5_9_11_2_27_33_6_175_486_0	1_0_5_9_11_2_27_33_6_175_475_0	PTU-HI1B	0_4_6_5_7_10_24_177_187_0	0_4_6_5_7_10_24_177_187_0	0_4_6_5_7_10_24_177_187_0	PTU-HI1B	III
NZ_CP020855.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBF	-	IncFIB(K);IncFII(K)	catI	No	221428	PTU-FK1	II	1	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	PTU-FK1	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_153_185_0	PTU-FK	III
NZ_CP020856.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	FIA(pBK30683);FIA(pBK30683);IncR	AAC(3)-IId;AAC(6')-Ib7;ANT(3'')-IIa;APH(3'')-Ib;APH(6)-Id;CTX-M-15;EreA2;SHV-187;SHV-187;arr-2;cmlA5;qacEdelta1;sul1;sul2	No	76158	PTU-R	I	1	1_0_5_9_11_2_27_33_56_9_73_0	1_0_5_9_11_2_27_33_56_9_73_0	1_0_5_9_11_2_27_33_56_9_73_0	PTU-R	0_4_6_5_7_10_24_177_94_0	0_4_6_5_7_10_24_177_94_0	0_4_6_5_7_10_24_177_94_0	PTU-R	I
NZ_CP020842.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBF	-	IncFIB(K);IncFII(K)	AAC(6')-Ib7;AAC(6')-Ib9;QnrB6;arr-2;rmtF;rmtF;rmtF	No	180210	PTU-FK1	II	1	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	PTU-FK1	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_153_185_0	PTU-FK	III
NZ_CP020843.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBF	-	IncFII(K)	-	No	97202	PTU-FK3	-	1	1_0_5_9_11_2_27_16_0_169_112_0	1_0_5_9_11_2_27_16_0_169_112_0	1_0_5_9_11_2_27_16_0_169_112_0	PTU-FK3	0_4_6_5_17_22_35_84_148_0	0_4_6_5_17_22_35_84_148_0	0_4_6_5_17_22_35_153_185_0	PTU-FK	III
